toilet_id,station_name,floor,lat,lon,description,features
10554971-c11d-505e-b58e-46bd7622c3af,東十条,不明,0.0,0.0,東十条駅付近のトイレ,
a8e770a6-264f-5b86-a215-0b3f098dac4f,王子,不明,0.0,0.0,王子駅付近のトイレ,
T5bec66e0,王子,不明,0.0,0.0,王子駅付近のトイレ / ベビーチェア,
T7144c8a5,上中里,不明,0.0,0.0,上中里駅前公衆トイレ / 車椅子OK,
db1d510c-3786-58f8-bd92-8f6fc46e90d8,大井町,不明,0.0,0.0,大井町駅付近のトイレ,
Tcfaa2643,大井町,不明,0.0,0.0,大井町駅付近のトイレ (0階) / 車椅子OK / ベビーチェア,
88c843ef-b87a-5402-a0b1-4285a8a2c3cb,大森,不明,0.0,0.0,大森駅付近のトイレ,
T3d48d152,大森,不明,0.0,0.0,大森駅付近のトイレ / 車椅子OK,
7ad6fef6-58e3-5455-b49d-2d189db96848,大森,不明,0.0,0.0,大森駅付近のトイレ (0階),
2c4145c3-7592-557a-a1d9-ac7c0d479d3d,大森,不明,0.0,0.0,大森駅付近のトイレ (2階),
T2fce4df0,大森,不明,0.0,0.0,大森駅付近のトイレ (0階) / 車椅子OK,
23b77a55-7ead-5ec5-8103-664876d359fe,大森,1F,0.0,0.0,大森駅付近のトイレ (-1階),
b6a666de-3883-5673-845e-1c029bb66cd9,蒲田,不明,0.0,0.0,蒲田西口駅前公衆便所せせらぎ,
T148d8c60,蒲田,不明,0.0,0.0,蒲田交差公衆便所 / 車椅子OK,
d4afdf09-7547-5981-83e2-556b4ffc21a1,蒲田,不明,0.0,0.0,菖蒲橋際公衆便所,
T50a403ff,浅草,不明,0.0,0.0,浅草駅付近のトイレ / 車椅子OK,
5f2dee58-2901-503d-9fd5-793b9ad7d737,浅草,不明,0.0,0.0,浅草駅付近のトイレ,
T65fc71f9,浅草,不明,0.0,0.0,浅草駅付近のトイレ (-2階) / 車椅子OK / ベビーチェア,
6208f176-b073-595a-b228-25274953dabe,浅草,不明,0.0,0.0,仲見世2号,
972edcc1-c1a6-5fac-8822-1bd63bed2a61,田原町,不明,0.0,0.0,田原町駅付近のトイレ,
eabb60a8-eab5-5e1d-b9c2-4603d57030f8,田原町,不明,0.0,0.0,田原公園 トイレ,
2c257c78-f6bd-5797-9ba8-4d4696e215da,稲荷町,不明,0.0,0.0,稲荷町駅付近のトイレ,
Td99dbecb,稲荷町,1F,0.0,0.0,稲荷町駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
Taf45de13,上野広小路,不明,0.0,0.0,上野広小路駅付近のトイレ / 車椅子OK,
2b96f434-f810-5e80-9d3f-adada188ff07,末広町,不明,0.0,0.0,末広町駅付近のトイレ,
T0a0fd2c0,末広町,1F,0.0,0.0,末広町駅付近のトイレ (1階) / 車椅子OK / ベビーチェア,
T4980fbf1,末広町,不明,0.0,0.0,末広町駅付近のトイレ / 車椅子OK,
0b7882ab-2269-5530-a0a8-2b247a51c708,三越前,不明,0.0,0.0,三越前駅付近のトイレ,
fae11134-c7ed-5d3b-af3b-d63c096c3d47,三越前,不明,0.0,0.0,西河岸橋際公衆便所,
9d460a2e-84e4-5180-a9db-f52160ff8503,日本橋,不明,0.0,0.0,日本橋駅付近のトイレ,
3a039eb9-e525-5adf-8d13-f10a5f133efe,日本橋,不明,0.0,0.0,海運橋際公衆便所,
d9b729a7-863d-5ec2-856f-d60e484acc7c,京橋,不明,0.0,0.0,京橋駅付近のトイレ,
Ta9e33256,京橋,不明,0.0,0.0,京橋駅付近のトイレ / 車椅子OK,
ec572d12-7b17-51e8-ae98-ee10f4d8ea4a,銀座,不明,0.0,0.0,銀座駅付近のトイレ (-2階),
T50641177,銀座,不明,0.0,0.0,銀座駅付近のトイレ (-2階) / 車椅子OK / ベビーチェア,
95c390da-cdf5-591d-8daa-fa0272c1a4af,虎ノ門,不明,0.0,0.0,虎ノ門駅付近のトイレ,
Te4d69d29,虎ノ門,1F,0.0,0.0,虎ノ門駅付近のトイレ (-1階) / ベビーチェア,
